"Date","Price","Open","High","Low","Vol.","Change %"
"Jul 15","6,696.28","6,520.98","6,813.41","6,430.36","15.85B","2.69%"
"Jun 15","6,520.98","6,984.43","7,037.58","6,520.98","16.46B","-6.64%"
"May 15","6,984.43","6,960.63","7,083.72","6,810.05","15.79B","0.34%"
"Apr 15","6,960.63","6,773.04","7,122.74","6,765.40","15.08B","2.77%"
"Mar 15","6,773.04","6,946.66","7,065.08","6,693.80","17.93B","-2.50%"
"Feb 15","6,946.66","6,749.40","6,967.24","6,731.99","14.79B","2.92%"
"Jan 15","6,749.40","6,566.09","6,864.97","6,298.15","16.13B","2.79%"
"Dec 14","6,566.09","6,722.62","6,753.19","6,144.72","14.08B","-2.33%"
"Nov 14","6,722.62","6,546.47","6,773.14","6,444.89","14.26B","2.69%"
"Oct 14","6,546.47","6,622.72","6,622.81","6,072.68","20.15B","-1.15%"
"Sep 14","6,622.72","6,819.75","6,904.86","6,601.62","15.41B","-2.89%"
"Aug 14","6,819.75","6,730.11","6,831.19","6,528.73","10.85B","1.33%"
"Jul 14","6,730.11","6,743.94","6,875.31","6,643.62","13.16B","-0.21%"
"Jun 14","6,743.94","6,844.51","6,878.96","6,701.59","12.69B","-1.47%"
"May 14","6,844.51","6,780.03","6,894.88","6,766.84","13.89B","0.95%"
"Apr 14","6,780.03","6,598.37","6,794.88","6,507.08","15.48B","2.75%"
"Mar 14","6,598.37","6,809.70","6,827.22","6,492.62","18.32B","-3.10%"
"Feb 14","6,809.70","6,510.44","6,866.35","6,416.72","17.27B","4.60%"
"Jan 14","6,510.44","6,749.09","6,867.42","6,421.26","15.18B","-3.54%"
"Dec 13","6,749.09","6,650.57","6,768.44","6,422.23","10.80B","1.48%"
"Nov 13","6,650.57","6,731.43","6,780.11","6,613.98","12.58B","-1.20%"
"Oct 13","6,731.43","6,462.22","6,819.86","6,316.91","14.04B","4.17%"
"Sep 13","6,462.22","6,412.93","6,659.12","6,412.93","15.31B","0.77%"
"Aug 13","6,412.93","6,621.06","6,696.63","6,386.72","13.68B","-3.14%"
"Jul 13","6,621.06","6,215.47","6,662.19","6,185.21","14.67B","6.53%"
"Jun 13","6,215.47","6,583.09","6,583.09","6,023.44","15.91B","-5.58%"
"May 13","6,583.09","6,430.12","6,875.62","6,409.81","15.76B","2.38%"
"Apr 13","6,430.12","6,411.74","6,501.78","6,214.36","14.32B","0.29%"
"Mar 13","6,411.74","6,360.81","6,533.99","6,308.56","15.79B","0.80%"
"Feb 13","6,360.81","6,276.88","6,412.44","6,216.72","14.13B","1.34%"
"Jan 13","6,276.88","5,897.81","6,354.46","5,897.81","14.22B","6.43%"
"Dec 12","5,897.81","5,866.82","5,997.04","5,852.88","10.07B","0.53%"
"Nov 12","5,866.82","5,782.70","5,921.78","5,605.59","16.16B","1.45%"
"Oct 12","5,782.70","5,742.07","5,928.27","5,738.59","16.34B","0.71%"
"Sep 12","5,742.07","5,711.48","5,932.62","5,634.88","16.52B","0.54%"
"Aug 12","5,711.48","5,635.28","5,876.22","5,632.97","13.45B","1.35%"
"Jul 12","5,635.28","5,571.15","5,727.45","5,478.02","14.71B","1.15%"
"Jun 12","5,571.15","5,320.86","5,623.85","5,229.76","18.24B","4.70%"
"May 12","5,320.86","5,737.78","5,819.93","5,253.92","19.82B","-7.27%"
"Apr 12","5,737.78","5,768.45","5,890.16","5,576.37","17.51B","-0.53%"
"Mar 12","5,768.45","5,871.51","5,989.07","5,726.50","21.19B","-1.76%"
"Feb 12","5,871.51","5,681.61","5,964.02","5,680.67","19.08B","3.34%"
"Jan 12","5,681.61","5,572.28","5,806.24","5,572.28","19.75B","1.96%"
"Dec 11","5,572.28","5,505.42","5,631.88","5,328.67","14.85B","1.21%"
"Nov 11","5,505.42","5,544.22","5,616.00","5,075.22","21.15B","-0.70%"
"Oct 11","5,544.22","5,128.48","5,747.33","4,868.60","17.96B","8.11%"
"Sep 11","5,128.48","5,394.53","5,449.67","4,928.14","20.70B","-4.93%"
"Aug 11","5,394.53","5,815.19","5,913.46","4,791.01","25.91B","-7.23%"
"Jul 11","5,815.19","5,945.71","6,084.08","5,752.81","17.01B","-2.20%"
"Jun 11","5,945.71","5,989.99","5,995.22","5,644.38","19.03B","-0.74%"
"May 11","5,989.99","6,069.90","6,103.73","5,810.46","17.88B","-1.32%"
"Apr 11","6,069.90","5,908.76","6,091.75","5,858.32","12.95B","2.73%"
"Mar 11","5,908.76","5,994.01","6,052.08","5,591.59","19.74B","-1.42%"
"Feb 11","5,994.01","5,862.94","6,105.77","5,860.95","16.98B","2.24%"
"Jan 11","5,862.94","5,899.94","6,090.49","5,815.44","17.84B","-0.63%"
"Dec 10","5,899.94","5,528.27","6,021.46","5,528.27","13.81B","6.72%"
"Nov 10","5,528.27","5,675.16","5,902.11","5,519.19","19.37B","-2.59%"
"Oct 10","5,675.16","5,548.62","5,794.31","5,547.55","16.94B","2.28%"
"Sep 10","5,548.62","5,225.22","5,650.33","5,225.22","17.87B","6.19%"
"Aug 10","5,225.22","5,258.02","5,418.58","5,070.94","18.21B","-0.62%"
"Jul 10","5,258.02","4,916.87","5,411.45","4,790.04","20.93B","6.94%"
"Jun 10","4,916.87","5,188.43","5,331.46","4,898.51","24.40B","-5.23%"
"May 10","5,188.43","5,553.29","5,565.99","4,898.49","30.62B","-6.57%"
"Apr 10","5,553.29","5,679.64","5,833.73","5,533.60","21.10B","-2.22%"
