TIME,FTSE,BCBUTE02,BRBUFT02,BRVSLV02,BSSPFT02,BVBUTE02,CCUSMA02,CP080000,CSINFT,LOCOSTNO,PIEAMI01,SLRTCR03,XTEXVA01
1996-06-01,3710.739998372396,0.7,31.4,10.7,6.4,3.8,34.371121447916146,51.95,23.1,99.58453992791321,79.7883354423099,48.25374793509074,5.6642195581787895
1996-06-30,3703.199951171875,-2.973333333333333,30.336666666666666,14.18,1.9533333333333331,3.8,33.89392496747036,52.723333333333336,22.71333333333333,99.5661657293064,79.7883354423099,34.70152899453858,6.344840872441272
1996-07-01,3708.5031817036293,-3.1,30.3,14.3,1.8,3.8,33.877469916420495,52.75,22.7,99.565532136251,79.7883354423099,34.23421110003678,6.36831057293308
1996-07-31,3867.60009765625,-1.5516129032258066,41.71935483870968,12.170967741935485,4.219354838709677,3.8,33.45103121115256,52.798387096774185,23.66774193548387,99.58124560310308,79.7883354423099,97.18458782210665,9.209750883360751
1996-08-01,3870.3775122857865,-1.5,42.1,12.1,4.3,3.8,33.43681658764364,52.8,23.7,99.5817693853315,79.7883354423099,99.2829337128423,9.304465560375007
1996-08-31,3953.699951171875,-7.983870967741934,42.874193548387105,11.616129032258065,5.65483870967742,3.8,32.89128787441466,52.8,22.73225806451613,99.63131397453544,79.7883354423099,47.53714914961909,4.669852566512372
1996-09-01,3954.546622721354,-8.2,42.9,11.6,5.7,3.8,32.87310358397369,52.8,22.7,99.63296546084221,79.7883354423099,45.81228966417832,4.51536546671695
1996-09-30,3979.10009765625,-2.8833333333333337,43.09333333333333,16.82,7.053333333333334,3.8,32.18829321921092,50.77,19.8,99.70869162788335,79.7883354423099,52.601339761917274,12.719117181477447
1996-10-01,3981.565719604492,-2.7,43.1,17.0,7.1,3.8,32.16467906870186,50.7,19.7,99.7113028750227,79.7883354423099,52.83544493770137,13.002005171641601
1996-11-01,4058.0,-1.1,45.7,13.1,5.8,3.8,28.82742320357068,50.8,22.5,99.80010569687781,79.7883354423099,46.3707212900274,10.7212186689221
1996-12-01,4118.5,0.3,46.2,20.1,9.8,3.8,28.314997910429497,50.7,26.9,99.87945362992821,79.7883354423099,38.02789143903443,10.2589077414138
1997-01-01,4275.7998046875,3.6,48.9,16.3,7.0,3.8,28.30209399969965,50.25,28.4,99.94457869387709,79.7883354423099,60.66209935568535,15.944574043746199
1997-02-01,4308.2998046875,3.3,39.0,16.5,0.5,3.4,29.712842830201826,50.2,27.3,100.00350898895,79.7883354423099,51.04855609135602,10.3282075398552
1997-03-01,4312.89990234375,-0.4,34.5,17.8,5.4,3.7,30.13879156014141,49.65,24.6,100.07170440614401,79.7883354423099,54.05064593962752,4.80611568758807
1997-03-31,4436.0,4.3419354838709685,34.016129032258064,21.574193548387093,2.0129032258064514,13.764516129032257,29.14211980490035,49.698387096774184,27.50322580645161,100.15715350018915,79.7883354423099,57.654897080121174,10.381270756957004
1997-04-01,4442.176660156249,4.5,34.0,21.7,1.9,14.1,29.108897413058987,49.7,27.6,100.160001803324,79.7883354423099,57.77503878480429,10.567109259269301
1997-04-30,4621.2998046875,-2.3633333333333337,34.0,17.446666666666665,6.83,14.293333333333335,28.98522024085643,49.55500000000001,21.22,100.26744204439208,79.7883354423099,54.24371107577888,9.230254937814607
1997-05-01,4620.761104460686,-2.6,34.0,17.3,7.0,14.3,28.980955510780486,49.55,21.0,100.271146880291,79.7883354423099,54.12194115477801,9.184156512936859
1997-05-31,4604.60009765625,0.20645161290322586,31.096774193548388,20.493548387096773,1.0,13.816129032258065,28.993576176104987,49.21129032258065,25.64516129032258,100.39932215773779,79.7883354423099,52.486123607052136,9.034353757720083
1997-06-01,4614.696761067708,0.3,31.0,20.6,0.8,13.8,28.99399686494914,49.2,25.8,100.40359466698601,79.7883354423099,52.43159635546125,9.02936033254619
1997-06-30,4907.5,-2.31,29.26,17.41,2.3466666666666667,23.66,28.397476273179088,49.635,34.596666666666664,100.54407267663672,79.7883354423099,33.117180851750476,12.243075839843495
1997-07-01,4904.596774193548,-2.4,29.2,17.3,2.4,24.0,28.376906597600822,49.65,34.9,100.548916745935,79.7883354423099,32.451166524036324,12.353893615957196
1997-07-31,4817.5,-8.10967741935484,29.683870967741928,25.33225806451613,2.4000000000000004,24.580645161290327,30.77332622431411,49.843548387096774,35.28709677419354,100.68646777384531,79.7883354423099,108.5659452743371,5.928305671195654
1997-08-01,4831.264522429436,-8.3,29.7,25.6,2.4,24.6,30.85320687853789,49.85,35.3,100.69105280810899,79.7883354423099,111.10310456601377,5.714119406370269
1997-08-31,5244.2001953125,4.087096774193548,33.86129032258065,23.27741935483871,3.7548387096774194,24.793548387096767,31.133912564752787,50.237096774193546,32.68709677419355,100.8149563094574,79.7883354423099,59.967896882054646,3.26627619952946
1997-09-01,5230.803515625,4.5,34.0,23.2,3.8,24.8,31.143269420959953,50.25,32.6,100.819086426169,79.7883354423099,58.263389959256,3.1846814259681
1997-09-30,4842.2998046875,5.370000000000001,32.93666666666667,21.073333333333334,4.766666666666667,26.540000000000006,30.464955224515805,51.12,29.7,100.92559670788306,79.7883354423099,52.92515394241571,2.3944524105729084
1997-10-01,4841.9716796875,5.4,32.9,21.0,4.8,26.6,30.44156507981083,51.15,29.6,100.929269476218,79.7883354423099,52.741076838386725,2.36720313417997
1997-11-01,4831.7998046875,7.0,28.5,20.5,-0.6,26.8,29.8272177114983,50.95,28.6,101.019462270558,79.7883354423099,55.5657958721501,0.139689940180517
1997-12-01,5135.5,3.4,27.7,18.9,0.9,26.9,31.01103664740531,50.95,26.0,101.085218006013,79.7883354423099,45.61665513406947,6.72590571506231
1998-01-01,5458.5,5.2,30.4,14.2,-6.7,7.8,31.741453702142163,50.95,31.3,101.12889900135201,79.7883354423099,67.20144145142702,-7.1145764346601
1998-02-01,5767.2998046875,1.7,11.9,15.5,-7.1,7.4,30.93831199496903,50.6,29.5,101.160667518631,79.7883354423099,59.1225799703984,-2.92870497576265
1998-03-01,5932.2001953125,-7.9,24.0,15.5,-5.9,7.7,29.793398906869587,50.85,29.5,101.18904722521201,79.7883354423099,67.2316400614395,0.957923889786668
1998-03-31,5928.39990234375,0.03548387096774197,25.161290322580644,18.016129032258068,-5.3193548387096765,20.57096774193549,29.79069797076967,50.801612903225816,29.983870967741932,101.21638397594653,79.7883354423099,53.4701688616567,-3.717675365733337
1998-04-01,5926.476578776042,0.3,25.2,18.1,-5.3,21.0,29.79060793956634,50.8,30.0,101.217295200971,79.7883354423099,53.011453154997284,-3.8735286742506703
1998-04-30,5870.7001953125,-2.6966666666666668,22.78333333333333,17.52,-10.616666666666667,21.096666666666668,31.26108080546436,50.655,28.45333333333333,101.24272043315666,79.7883354423099,55.464007201921255,-4.017912242939045
1998-05-01,5869.471159904234,-2.8,22.7,17.5,-10.8,21.1,31.31178676635739,50.65,28.4,101.243597165301,79.7883354423099,55.54857803112554,-4.02289098668692
